dataframe_index,original_url,generated_filename,download_status,error_message
221,,,Skipped (Invalid URL),Empty or invalid URL found.
222,,,Skipped (Invalid URL),Empty or invalid URL found.
223,,,Skipped (Invalid URL),Empty or invalid URL found.
224,,,Skipped (Invalid URL),Empty or invalid URL found.
225,,,Skipped (Invalid URL),Empty or invalid URL found.
226,,,Skipped (Invalid URL),Empty or invalid URL found.
227,,,Skipped (Invalid URL),Empty or invalid URL found.
228,,,Skipped (Invalid URL),Empty or invalid URL found.
229,,,Skipped (Invalid URL),Empty or invalid URL found.
230,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141778%2Fsmall&type=IMAGE,image_61.jpg,Downloaded,
231,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141777%2Fsmall&type=IMAGE,image_62.jpg,Downloaded,
232,,,Skipped (Invalid URL),Empty or invalid URL found.
233,,,Skipped (Invalid URL),Empty or invalid URL found.
234,,,Skipped (Invalid URL),Empty or invalid URL found.
235,,,Skipped (Invalid URL),Empty or invalid URL found.
236,,,Skipped (Invalid URL),Empty or invalid URL found.
237,,,Skipped (Invalid URL),Empty or invalid URL found.
238,,,Skipped (Invalid URL),Empty or invalid URL found.
239,,,Skipped (Invalid URL),Empty or invalid URL found.
240,,,Skipped (Invalid URL),Empty or invalid URL found.
241,,,Skipped (Invalid URL),Empty or invalid URL found.
242,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141776%2Fsmall&type=IMAGE,image_63.jpg,Downloaded,
243,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141775%2Fsmall&type=IMAGE,image_64.jpg,Downloaded,
244,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141774%2Fsmall&type=IMAGE,image_65.jpg,Downloaded,
245,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141773%2Fsmall&type=IMAGE,image_66.jpg,Downloaded,
246,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141772%2Fsmall&type=IMAGE,image_67.jpg,Downloaded,
247,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141771%2Fsmall&type=IMAGE,image_68.jpg,Downloaded,
248,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141770%2Fsmall&type=IMAGE,image_69.jpg,Downloaded,
249,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141769%2Fsmall&type=IMAGE,image_70.jpg,Downloaded,
250,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141768%2Fsmall&type=IMAGE,image_71.jpg,Downloaded,
251,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141767%2Fsmall&type=IMAGE,image_72.jpg,Downloaded,
252,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141766%2Fsmall&type=IMAGE,image_73.jpg,Downloaded,
253,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141765%2Fsmall&type=IMAGE,image_74.jpg,Downloaded,
254,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141764%2Fsmall&type=IMAGE,image_75.jpg,Downloaded,
255,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141763%2Fsmall&type=IMAGE,image_76.jpg,Downloaded,
256,,,Skipped (Invalid URL),Empty or invalid URL found.
257,,,Skipped (Invalid URL),Empty or invalid URL found.
258,,,Skipped (Invalid URL),Empty or invalid URL found.
259,,,Skipped (Invalid URL),Empty or invalid URL found.
260,,,Skipped (Invalid URL),Empty or invalid URL found.
261,,,Skipped (Invalid URL),Empty or invalid URL found.
262,,,Skipped (Invalid URL),Empty or invalid URL found.
263,,,Skipped (Invalid URL),Empty or invalid URL found.
264,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141762%2Fsmall&type=IMAGE,image_77.jpg,Downloaded,
265,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141761%2Fsmall&type=IMAGE,image_78.jpg,Downloaded,
266,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141760%2Fsmall&type=IMAGE,image_79.jpg,Downloaded,
267,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141759%2Fsmall&type=IMAGE,image_80.jpg,Downloaded,
268,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141758%2Fsmall&type=IMAGE,image_81.jpg,Downloaded,
269,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141757%2Fsmall&type=IMAGE,image_82.jpg,Downloaded,
270,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141756%2Fsmall&type=IMAGE,image_83.jpg,Downloaded,
271,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FB216626%2Fsmall&type=IMAGE,image_84.jpg,Downloaded,
272,,,Skipped (Invalid URL),Empty or invalid URL found.
273,,,Skipped (Invalid URL),Empty or invalid URL found.
274,,,Skipped (Invalid URL),Empty or invalid URL found.
275,,,Skipped (Invalid URL),Empty or invalid URL found.
276,,,Skipped (Invalid URL),Empty or invalid URL found.
277,,,Skipped (Invalid URL),Empty or invalid URL found.
278,,,Skipped (Invalid URL),Empty or invalid URL found.
279,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FB216626%2Fsmall&type=IMAGE,image_85.jpg,Downloaded,
280,,,Skipped (Invalid URL),Empty or invalid URL found.
281,,,Skipped (Invalid URL),Empty or invalid URL found.
282,,,Skipped (Invalid URL),Empty or invalid URL found.
283,,,Skipped (Invalid URL),Empty or invalid URL found.
284,,,Skipped (Invalid URL),Empty or invalid URL found.
